epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.54473,1.19227,3.31149,1.21692,0.00679,0.46508,0.14735,0.10255,0.88241,3.1336,1.01184,6.668e-05,6.668e-05,6.668e-05
2,5.79287,1.23591,3.1424,1.22836,0.00793,0.55873,0.22594,0.14656,0.95785,3.06506,1.04984,0.000147059,0.000147059,0.000147059
3,7.0047,1.31583,2.4116,1.17296,0.00802,0.59206,0.23706,0.16061,1.11503,2.89131,1.14665,0.000224138,0.000224138,0.000224138
4,8.17869,1.27395,1.85205,1.20428,1,0.08702,0.27775,0.17743,1.1676,2.77524,1.19621,0.000297916,0.000297916,0.000297916
5,9.34408,1.32677,1.64634,1.15739,1,0.08446,0.25789,0.17794,1.30361,2.72774,1.32388,0.000368394,0.000368394,0.000368394
6,10.4781,1.13086,1.62346,1.16084,1,0.10008,0.26859,0.17298,1.3134,2.74158,1.33005,0.00043557,0.00043557,0.00043557
7,11.5851,1.26234,1.61927,1.2231,0.91918,0.11547,0.2469,0.17191,1.25908,2.7976,1.30634,0.000499447,0.000499447,0.000499447
8,12.6815,1.24853,1.54013,1.13282,0.96011,0.12838,0.26202,0.17469,1.25369,2.72095,1.29891,0.000560022,0.000560022,0.000560022
9,13.8234,1.15088,1.49808,1.18591,0.84546,0.12222,0.23211,0.13683,1.39865,2.68234,1.38918,0.000617297,0.000617297,0.000617297
10,14.9584,1.26416,1.54118,1.20213,0.83672,0.13333,0.28741,0.14337,1.46702,2.66159,1.45673,0.000671271,0.000671271,0.000671271
11,16.0676,1.20014,1.48062,1.19811,0.82844,0.22553,0.31226,0.1488,1.52227,2.71815,1.46644,0.000721944,0.000721944,0.000721944
12,17.1872,1.218,1.42861,1.18525,0.74558,0.18562,0.29274,0.13916,1.54785,2.70637,1.48621,0.000769317,0.000769317,0.000769317
13,18.2642,1.16368,1.37848,1.16728,0.75557,0.20714,0.31189,0.14549,1.51707,2.60391,1.48152,0.000813389,0.000813389,0.000813389
14,19.3829,1.08051,1.36349,1.14953,0.73531,0.21111,0.33633,0.17428,1.37576,2.42626,1.39996,0.000854161,0.000854161,0.000854161
15,20.5157,1.10548,1.29,1.13367,0.77313,0.17778,0.2404,0.112,1.5635,2.57035,1.63388,0.000891632,0.000891632,0.000891632
16,21.6155,1.0838,1.24294,1.13122,0.62844,0.13333,0.09471,0.04219,1.71068,2.90857,1.94649,0.000925802,0.000925802,0.000925802
17,22.7065,1.206,1.31627,1.17074,0.54956,0.07778,0.04618,0.01516,1.88983,3.28648,2.2209,0.000956671,0.000956671,0.000956671
18,23.8438,1.24709,1.35568,1.14801,0.66567,0.08812,0.07458,0.03048,1.84682,2.94677,1.99514,0.00098424,0.00098424,0.00098424
19,24.945,1.23221,1.36399,1.17254,0.79939,0.12222,0.21703,0.1112,1.7034,2.65363,1.78427,0.00100851,0.00100851,0.00100851
20,26.0454,1.18246,1.27301,1.12049,0.74506,0.17778,0.26173,0.16168,1.53349,2.43629,1.58789,0.00102948,0.00102948,0.00102948
21,27.1576,1.03006,1.26364,1.13217,0.75645,0.18724,0.23544,0.16792,1.43963,2.49166,1.52809,0.00100687,0.00100687,0.00100687
22,28.2943,1.16404,1.24883,1.12412,0.62417,0.2,0.22253,0.15458,1.46636,2.50796,1.54619,0.000973861,0.000973861,0.000973861
23,29.3725,1.13078,1.25874,1.1204,0.39037,0.28254,0.25816,0.18089,1.42911,2.36693,1.4699,0.000940855,0.000940855,0.000940855
24,30.5285,1.12083,1.17992,1.14483,0.68766,0.2673,0.3142,0.1762,1.58922,2.13785,1.59755,0.000907848,0.000907848,0.000907848
25,31.6405,1.07658,1.28362,1.12564,0.52198,0.30476,0.34035,0.17292,1.68933,2.08503,1.69834,0.000874842,0.000874842,0.000874842
26,32.7245,1.11288,1.18628,1.11877,0.551,0.27547,0.37504,0.18193,1.73654,2.17102,1.71881,0.000841835,0.000841835,0.000841835
27,33.8848,1.15658,1.18059,1.12652,0.5454,0.25939,0.35386,0.19233,1.82881,2.22879,1.78117,0.000808828,0.000808828,0.000808828
28,35.0381,1.14156,1.15819,1.12678,0.49053,0.34719,0.37313,0.19046,1.71752,2.18631,1.67929,0.000775822,0.000775822,0.000775822
29,36.1305,1.02392,1.057,1.05263,0.54048,0.36095,0.42721,0.23683,1.78278,2.06818,1.67666,0.000742815,0.000742815,0.000742815
30,37.2634,1.08082,1.15724,1.1044,0.73137,0.36535,0.47145,0.24877,1.78391,1.98956,1.67463,0.000709809,0.000709809,0.000709809
31,38.3921,1.01009,1.10443,1.11308,0.73075,0.37458,0.45819,0.27087,1.77372,1.96913,1.69149,0.000676802,0.000676802,0.000676802
32,39.5333,0.98293,1.01631,1.05148,0.75008,0.38258,0.4582,0.22597,1.78794,1.90073,1.70406,0.000643795,0.000643795,0.000643795
